CashIn,OnUsCheck,NotOnUsCheck
1,100,50
2,200,100
3,300,150
4,400,200
5,105,250
6,600,300
7,700,350
8,800,400
9,900,450
10,1000,500
11,1100,550
12,1200,600
13,1300,650
14,1400,700
15,1500,750
16,1600,800
17,1700,850
18,1800,900
19,1900,950
20,2000,1000
21,2100,1050
22,2200,1100
23,2300,1150
24,2400,1200
25,2500,1250
26,2600,1300
27,2700,1350
28,2800,1400
29,2900,1450
30,3000,1500
31,3100,1550
32,3200,1600
33,3300,1650
34,3400,1700
35,3500,1750
36,3600,1800
37,3700,1850
38,3800,1900
39,3900,1950
40,4000,2000
41,4100,2050
42,4200,2100
43,4300,2150
44,4400,2200
45,4500,2250
46,4600,2300
47,4700,2350
48,4800,2400
49,4900,2450
50,5000,2500
51,5100,2550
52,5200,2600
53,5300,2650
54,5400,2700
55,5500,2750
56,5600,2800
57,5700,2850
58,5800,2900
59,5900,2950
60,6000,3000
61,100,50
62,200,100
63,300,150
64,400,200
65,105,250
66,600,300
67,700,350
68,800,400
69,900,450
70,1000,500
71,1100,550
72,1200,600
73,1300,650
74,1400,700
75,1500,750
76,1600,800
77,1700,850
78,1800,900
79,1900,950
80,2000,1000
81,2100,1050
82,2200,1100
83,2300,1150
84,2400,1200
85,2500,1250
86,2600,1300
87,2700,1350
88,2800,1400
89,2900,1450
90,3000,1500
91,3100,1550
92,3200,1600
93,3300,1650
94,3400,1700
95,3500,1750
96,3600,1800
97,3700,1850
98,3800,1900
99,3900,1950
100,4000,2000
101,4100,2050
102,4200,2100
103,4300,2150
104,4400,2200
105,4500,2250
106,4600,2300
107,4700,2350
108,4800,2400
109,4900,2450
110,5000,2500
111,5100,2550
112,5200,2600
113,5300,2650
114,5400,2700
115,5500,2750
116,5600,2800
117,5700,2850
118,5800,2900
119,5900,2950
120,6000,3000
121,100,50
122,200,100
123,300,150
124,400,200
125,105,250
126,600,300
127,700,350
128,800,400
129,900,450
130,1000,500
131,1100,550
132,1200,600
133,1300,650
134,1400,700
135,1500,750
136,1600,800
137,1700,850
138,1800,900
139,1900,950
140,2000,1000
141,2100,1050
142,2200,1100
143,2300,1150
144,2400,1200
145,2500,1250
146,2600,1300
147,2700,1350
148,2800,1400
149,2900,1450
150,3000,1500
151,3100,1550
152,3200,1600
153,3300,1650
154,3400,1700
155,3500,1750
156,3600,1800
157,3700,1850
158,3800,1900
159,3900,1950
160,4000,2000
161,4100,2050
162,4200,2100
163,4300,2150
164,4400,2200
165,4500,2250
166,4600,2300
167,4700,2350
168,4800,2400
169,4900,2450
170,5000,2500
171,5100,2550
172,5200,2600
173,5300,2650
174,5400,2700
175,5500,2750
176,5600,2800
177,5700,2850
178,5800,2900
179,5900,2950
180,6000,3000
181,100,50
182,200,100
183,300,150
184,400,200
185,105,250
186,600,300
187,700,350
188,800,400
189,900,450
190,1000,500
191,1100,550
192,1200,600
193,1300,650
194,1400,700
195,1500,750
196,1600,800
197,1700,850
198,1800,900
199,1900,950
200,2000,1000
201,2100,1050
202,2200,1100
203,2300,1150
204,2400,1200
205,2500,1250
206,2600,1300
207,2700,1350
208,2800,1400
209,2900,1450
210,3000,1500
211,3100,1550
212,3200,1600
213,3300,1650
214,3400,1700
215,3500,1750
216,3600,1800
217,3700,1850
218,3800,1900
219,3900,1950
220,4000,2000
221,4100,2050
222,4200,2100
223,4300,2150
224,4400,2200
225,4500,2250
226,4600,2300
227,4700,2350
228,4800,2400
229,4900,2450
230,5000,2500
231,5100,2550
232,5200,2600
233,5300,2650
234,5400,2700
235,5500,2750
236,5600,2800
237,5700,2850
238,5800,2900
239,5900,2950
240,6000,3000
241,100,50
242,200,100
243,300,150
244,400,200
245,105,250
246,600,300
247,700,350
248,800,400
249,900,450
250,1000,500
251,1100,550
252,1200,600
253,1300,650
254,1400,700
255,1500,750
256,1600,800
257,1700,850
258,1800,900
259,1900,950
260,2000,1000
261,2100,1050
262,2200,1100
263,2300,1150
264,2400,1200
265,2500,1250
266,2600,1300
267,2700,1350
268,2800,1400
269,2900,1450
270,3000,1500
271,3100,1550
272,3200,1600
273,3300,1650
274,3400,1700
275,3500,1750
276,3600,1800
277,3700,1850
278,3800,1900
279,3900,1950
280,4000,2000
281,4100,2050
282,4200,2100
283,4300,2150
284,4400,2200
285,4500,2250
286,4600,2300
287,4700,2350
288,4800,2400
289,4900,2450
290,5000,2500
291,5100,2550
292,5200,2600
293,5300,2650
294,5400,2700
295,5500,2750
296,5600,2800
297,5700,2850
298,5800,2900
299,5900,2950
300,6000,3000
